Transaction ID,Date,Company,Category,Amount (USD)
TXN000265,2023-01-01,MACYS.COM,Clothing,367.53
TXN000501,2023-01-01,ZARA #6262,Clothing,327.64
TXN001287,2023-01-01,SUBWAY #2417435,Food & Drink,391.70
TXN001629,2023-01-01,PSN*PLAYSTATION,Entertainment,276.73
TXN002730,2023-01-01,ALDI #92659,Groceries,164.58
TXN000367,2023-01-02,MACY'S #9551,Clothing,30.73
TXN001119,2023-01-02,WAYFAIR,Home & Furniture,423.62
TXN001763,2023-01-02,GOOGLE*SVCSAPPS,Entertainment,42.92
TXN002446,2023-01-02,H&M STORE,Clothing,321.91
TXN002453,2023-01-02,COURSERA,Education,284.15
TXN002588,2023-01-02,PAYPAL *EBAY,Shopping,26.49
TXN002224,2023-01-03,UBER* EATS,Food & Drink,115.39
TXN002622,2023-01-03,VZW*VERIZON,Utilities,201.65
TXN001087,2023-01-04,TJMAXX.COM,Clothing,437.90
TXN001476,2023-01-04,AMC #45655,Entertainment,229.08
TXN002093,2023-01-04,BP#384371054343,Gas & Transport,428.12
TXN002378,2023-01-04,SAFEWAY #1479,Groceries,114.62
TXN002494,2023-01-04,ZARA #8189,Clothing,499.55
TXN002729,2023-01-04,BEST BUY #2465642,Electronics,264.77
TXN000743,2023-01-05,EBAY O*3932947190512,Shopping,134.83
TXN000845,2023-01-05,TRADER JOE'S #215,Groceries,42.93
TXN001445,2023-01-05,BEST BUY CO INC,Electronics,348.75
TXN002509,2023-01-05,NETFLIX.COM,Subscriptions,167.33
TXN000242,2023-01-06,UBER EATS HELP.UBER.COM,Food & Drink,155.85
TXN000296,2023-01-06,PSN*PLAYSTATION,Entertainment,307.26
TXN001927,2023-01-06,CHEVRON #685294,Gas & Transport,20.16
TXN000416,2023-01-07,ADOBE*220375940,Subscriptions,125.16
TXN000207,2023-01-08,CVS/PHARMACY #40210,Health,445.73
TXN000352,2023-01-08,NATIONALGRIDUS,Utilities,482.92
TXN000658,2023-01-08,LINKEDIN LEARNING,Education,193.67
TXN000758,2023-01-08,PANERABREAD.COM,Food & Drink,91.02
TXN001133,2023-01-08,COSTCO.COM,Shopping,314.84
TXN001487,2023-01-08,DUNKIN #366346,Food & Drink,264.18
TXN002315,2023-01-08,TJMAXX.COM,Clothing,40.03
TXN000671,2023-01-09,COMCAST CABLE COMM,Utilities,495.28
TXN002445,2023-01-09,XBOX GAME PASS,Subscriptions,23.97
TXN002789,2023-01-09,COSTCO GAS #0166,Shopping,283.31
TXN000634,2023-01-10,MICROSOFT*MSBILL,Subscriptions,275.94
TXN000661,2023-01-10,THE HOME DEPOT #4512,Home Improvement,142.81
TXN000949,2023-01-10,RITE AID STORE 7425,Health,304.23
TXN001582,2023-01-10,ALDI #29326,Groceries,44.91
TXN001851,2023-01-10,BESTBUY.COM,Electronics,15.92
TXN002283,2023-01-10,SOUTHWESTAIR.COM,Travel,13.63
TXN002306,2023-01-10,WALGREENS #14371,Health,122.41
TXN002313,2023-01-10,COURSERA INC,Education,243.63
